id,name,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,host_is_superhost,host_response_rate,host_acceptance_rate,availability_365,reviews_per_month,calculated_host_listings_count,bathrooms
205296,4* apartment in quiet south Berlin,Rudow,52.41363,13.50172,Entire home/apt,4,3.0,4.0,100.0,5,730,3,4.33,4.67,4.67,False,17.0,0.0,357,0.04,1,1.0
214518,Chimaysaberlin Front Room Double Bed,Otto-Suhr-Allee,52.5189,13.3009,Private room,1,1.0,1.0,44.0,3,21,99,4.54,4.41,4.54,False,100.0,95.0,228,0.63,1,1.0
220445,Apt. Near Charlottenburg Palace,Mierendorffplatz,52.52545,13.29847,Entire home/apt,2,1.0,2.0,84.0,30,90,44,4.84,4.77,4.73,True,,89.0,172,0.29,1,1.0
221015,clean calm cosy central Berlin Wedding apartment,Wedding Zentrum,52.54223,13.35284,Entire home/apt,4,2.0,2.0,112.0,5,14,663,4.81,4.92,4.62,True,100.0,100.0,85,3.9,2,1.0
222784,Quiet-warm-sunlit-balcony-kitchen-in Moabit-center,Moabit West,52.52875,13.34062,Entire home/apt,2,1.0,1.0,49.0,92,1125,211,4.73,4.78,4.59,False,,100.0,305,1.26,2,1.0
225639,Cosy One Room Apartment near River,Reuterstraße,52.48609,13.43662,Entire home/apt,2,1.0,1.0,107.0,14,90,12,4.45,4.73,4.4,False,100.0,50.0,35,0.07,1,1.0
229348,Excl. Studio A Mitte/Hansaviertel,Moabit Ost,52.52067184448242,13.341280937194824,Entire home/apt,2,1.0,3.0,106.0,4,365,178,4.63,4.67,4.66,False,100.0,96.0,335,1.05,2,1.0
229363,Excl. Studio B Mitte/Hansaviertel,Moabit Ost,52.52147674560547,13.342495918273926,Entire home/apt,2,1.0,2.0,106.0,4,365,129,4.5,4.54,4.81,False,100.0,96.0,319,0.82,2,1.0
229776,Cosy room in Mitte / Rosenthaler Platz,Alexanderplatz,52.52861,13.40527,Private room,2,1.0,1.0,60.0,3,1125,360,4.91,4.83,4.97,True,100.0,98.0,22,2.12,1,1.0
230611,4 bedroom holiday house Berlin,Lichtenrade,52.39095,13.39185,Entire home/apt,7,4.0,4.0,151.0,92,365,7,5.0,4.86,4.57,False,50.0,,326,0.04,1,2.5
231220,"1 Room Apartment, Charlottenburg",Westend,52.51167,13.2852,Entire home/apt,1,1.0,1.0,28.0,100,365,26,4.7,4.52,4.76,False,100.0,50.0,139,0.16,1,1.0
237670,Apartment Burde 2,Buckow Nord,52.44127,13.46116,Entire home/apt,2,1.0,1.0,55.0,4,365,80,4.85,4.83,4.51,True,100.0,100.0,280,0.66,2,1.0
238396,"Within the city, calm and leafy",Prenzlauer Berg Südwest,52.53218,13.41571,Entire home/apt,2,1.0,1.0,123.0,3,15,713,4.83,4.8,4.9,True,100.0,99.0,154,4.22,3,1.0
242794,Elegant renovated apartment 72 m2,Frankfurter Allee Süd FK,52.51367,13.45527,Entire home/apt,2,1.0,2.0,146.0,4,18,100,4.77,4.63,4.91,True,100.0,79.0,298,0.61,1,2.0
242908,Holiday Apartment in Berlin Wannsee with balcony,Zehlendorf  Südwest,52.41643,13.16445,Entire home/apt,4,1.0,4.0,89.0,5,28,4,5.0,5.0,4.75,False,100.0,41.0,243,0.09,3,1.0
242927,Holiday Rental in Berlin Wannsee,Zehlendorf  Südwest,52.41618,13.16461,Entire home/apt,2,1.0,3.0,85.0,5,365,2,3.0,3.5,4.0,False,100.0,41.0,264,0.02,3,1.0
242978,Exclusive one-bedroom apartment,Moabit West,52.52826,13.33044,Entire home/apt,4,0.0,1.0,89.0,2,365,314,4.68,4.53,4.51,True,100.0,100.0,76,2.02,6,1.0
243057,"Dach-Apartement ""Blueberry Hill""  in Berlin-Mitte",Moabit West,52.53094,13.33453,Entire home/apt,5,1.0,2.0,179.0,4,1125,58,4.78,4.9,4.66,False,,100.0,252,0.46,1,1.0
243081,"Living with style, apartment 2",Brunnenstr. Süd,52.52983,13.39275,Entire home/apt,6,2.0,5.0,140.0,1,365,387,4.72,4.88,4.83,True,100.0,100.0,191,2.38,2,1.0
243238,Blue Jewel in Green Borough,Johannisthal,52.44612,13.49829,Entire home/apt,4,2.0,4.0,77.0,2,365,277,4.62,4.74,4.6,True,100.0,100.0,333,2.15,1,1.5
245744,Apartment in central Berlin,Regierungsviertel,52.52024,13.3907,Entire home/apt,6,3.0,4.0,276.0,2,14,195,4.55,4.57,4.91,True,80.0,100.0,282,1.18,1,1.0
245827,2-bedroom apartment Mitte,Regierungsviertel,52.50974,13.39971,Entire home/apt,4,1.0,4.0,140.0,3,365,119,4.53,4.63,4.73,False,,0.0,362,0.76,1,1.0
249419,Living in the artist's studio in P'Berg,Helmholtzplatz,52.54339,13.42615,Entire home/apt,2,1.0,1.0,92.0,4,7,194,4.82,4.83,4.89,False,100.0,95.0,127,1.16,1,1.0
250007,Exotic holiday apartment in Berlin,Schöneberg-Nord,52.49512,13.35251,Entire home/apt,4,1.0,2.0,72.0,2,40,383,4.83,4.84,4.86,True,100.0,100.0,209,2.39,1,1.0
