neighbourhood_cleansed,avg_price,median_price,listing_count,avg_rating,avg_accommodates
Schöneberg-Nord,112.58,85.0,212,4.71,2.78
Schöneberg-Süd,119.56,102.0,162,4.8,3.74
Schönholz/Wilhelmsruh/Rosenthal,114.1,102.0,20,4.88,3.8
Siemensstadt,81.11,76.0,9,4.62,2.44
Spandau Mitte,153.12,120.5,16,4.8,3.94
Südliche Friedrichstadt,144.6,125.0,180,4.71,3.24
Teltower Damm,95.41,85.0,27,4.62,2.89
Tempelhof,129.19,100.0,142,4.68,3.8
Tempelhofer Vorstadt,118.68,97.5,418,4.75,3.17
Tiergarten Süd,152.15,139.0,115,4.67,3.46
Volkspark Wilmersdorf,107.47,89.0,86,4.71,3.02
Wedding Zentrum,117.42,91.0,124,4.7,3.86
Weißensee,122.99,94.5,106,4.67,3.97
Weißensee Ost,109.58,83.0,12,4.87,4.08
West 1,104.44,80.0,9,4.82,2.78
West 2,95.46,72.0,13,4.93,3.38
West 3,71.33,62.5,6,4.68,3.17
West 4,73.12,79.0,16,4.86,2.56
West 5,381.55,203.0,11,4.87,2.18
Westend,131.27,90.0,64,4.8,2.95
Wiesbadener Straße,144.4,132.0,25,4.6,2.88
Wilhelmstadt,130.12,120.0,17,4.81,3.18
Zehlendorf  Nord,119.06,84.0,49,4.76,3.06
Zehlendorf  Südwest,116.76,102.0,29,4.8,3.55
nördliche Luisenstadt,120.86,97.0,147,4.74,3.11
südliche Luisenstadt,126.15,101.0,242,4.8,3.4
